CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE267023,06/15/2021 03:03:00 PM,082XX S STONY ISLAND AVE,460,BATTERY,SIMPLE,STREET,Y,N,411,8,08B,1188236,1850761,41.74556517,-87.58584092,"(41.745565169, -87.585840919)"
JE267234,06/15/2021 04:45:00 PM,107XX S GREEN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2233,34,08B,1172556,1833609,41.69885706,-87.6437984,"(41.698857058, -87.643798396)"
JE267494,06/15/2021 11:04:00 PM,052XX S ARTESIAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,923,14,01A,1160923,1869959,41.79885471,-87.68539088,"(41.798854705, -87.685390881)"
JE267500,06/15/2021 10:20:00 PM,040XX W 115TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,N,N,2211,19,14,1151309,1828012,41.68393824,-87.72174118,"(41.683938235, -87.721741177)"
JE266437,06/15/2021 03:09:00 AM,078XX S ADA ST,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,APARTMENT,N,N,612,17,15,1168802,1852756,41.75148093,-87.65699296,"(41.751480925, -87.656992959)"
JE266989,06/15/2021 02:20:00 PM,051XX N LINCOLN AVE,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,N,N,2031,40,26,1158555,1934254,41.97533468,-87.69231358,"(41.975334679, -87.692313579)"
JE267088,06/15/2021 03:35:00 PM,030XX N CLARK ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1934,44,6,1170665,1920334,41.93688045,-87.64819037,"(41.936880447, -87.648190373)"
JE266473,06/15/2021 07:55:00 AM,062XX S MORGAN ST,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,N,N,712,16,01A,1170714,1863474,41.780851,-87.64967422,"(41.780850996, -87.649674221)"
JE267319,06/15/2021 07:09:00 PM,045XX W ALTGELD ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,2521,31,11,1145637,1916295,41.92630909,-87.74027493,"(41.92630909, -87.74027493)"
JE267295,06/15/2021 06:08:00 PM,002XX N MAYFIELD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1512,29,08B,1137120,1901058,41.88465429,-87.77193779,"(41.884654292, -87.771937787)"
JE267345,06/15/2021 04:30:00 PM,042XX N ELSTON AVE,810,THEFT,OVER $500,STREET,N,N,1723,39,6,1149542,1927916,41.95812305,-87.72562303,"(41.95812305, -87.725623029)"
JE266996,06/15/2021 01:00:00 PM,010XX W ROOSEVELT RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1232,25,14,1169272,1894871,41.86703884,-87.6540508,"(41.867038835, -87.654050797)"
JE267206,06/15/2021 05:20:00 PM,048XX N PULASKI RD,460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1712,39,08B,1148853,1931908,41.96909077,-87.72805239,"(41.969090767, -87.728052386)"
JE266968,06/15/2021 06:00:00 AM,004XX E 88TH ST,820,THEFT,$500 AND UNDER,ALLEY,N,N,632,9,6,1180754,1846736,41.73469519,-87.61337944,"(41.734695188, -87.613379443)"
TS266969,06/15/2021 06:00:00 AM,004XX E 88TH ST,,THEFT,$500 AND UNDER,ALLEY,N,N,632,9,6,1180754,1846736,41.73469519,-87.61337944,"(41.734695188, -87.613379443)"
